OBJECTID,State,Facility_ID,Tank_ID,Tank_Status,Installation_Date,Removal_Date,Capacity,Substances,Tank_Wall_Type,QA
46949,Alaska,AK2326,AK2326_3,Open,12/1/1994 5:00:00 AM,,20000,Gasoline,,
46950,Alaska,AK2326,AK2326_4,Open,12/1/1994 5:00:00 AM,,10000,Gasoline,,
46951,Alaska,AK2326,AK2326_5,Open,12/1/1994 5:00:00 AM,,10000,Gasoline,,
46952,Alaska,AK2559,AK2559_3,Open,11/1/1994 5:00:00 AM,,5000,Diesel,,
46953,Alaska,AK2559,AK2559_4,Open,11/1/1994 5:00:00 AM,,3000,Diesel,,
46954,Alaska,AK2559,AK2559_5,Open,11/1/1994 5:00:00 AM,,3000,Gasoline,,
46955,Alaska,AK956,AK956_6,Open,10/20/1994 4:00:00 AM,,20000,Gasoline,,
46956,Alaska,AK1309,AK1309_2,Open,10/1/1994 4:00:00 AM,,1000,Gasoline,,
46957,Alaska,AK1309,AK1309_3,Open,10/1/1994 4:00:00 AM,,1000,Diesel,,
46958,Alaska,AK2956,AK2956_2,Closed,10/1/1994 4:00:00 AM,,500,Diesel,,
46959,Alaska,AK3232,AK3232_1,Closed,10/1/1994 4:00:00 AM,,1100,Diesel,,
46960,Alaska,AK2379,AK2379_6,Open,9/1/1994 4:00:00 AM,,12000,Gasoline,,
46961,Alaska,AK599,AK599_2,Open,9/1/1994 4:00:00 AM,,20000,Gasoline,,
46962,Alaska,AK599,AK599_3,Open,9/1/1994 4:00:00 AM,,20000,Gasoline,,
46963,Alaska,AK2865,AK2865_2,Closed,8/26/1994 4:00:00 AM,,1000,Gasoline,,
46964,Alaska,AK210,AK210_4,Open,8/10/1994 4:00:00 AM,,12000,Gasoline,,
46965,Alaska,AK123,AK123_3,Open,8/1/1994 4:00:00 AM,,20000,Gasoline,,
46966,Alaska,AK1779,AK1779_10,Closed,8/1/1994 4:00:00 AM,,5000,Gasoline,,
46967,Alaska,AK1779,AK1779_20,Open,8/1/1994 4:00:00 AM,,3000,Gasoline,,
46968,Alaska,AK1779,AK1779_21,Open,8/1/1994 4:00:00 AM,,5000,Diesel,,
46969,Alaska,AK1981,AK1981_4,Closed,8/1/1994 4:00:00 AM,,26000,Gasoline,,
46970,Alaska,AK2052,AK2052_1,Open,8/1/1994 4:00:00 AM,,1000,Diesel,,
46971,Alaska,AK2052,AK2052_3,Open,8/1/1994 4:00:00 AM,,500,Diesel,,
46972,Alaska,AK2052,AK2052_5,Open,8/1/1994 4:00:00 AM,,2000,Diesel,,
46973,Alaska,AK2186,AK2186_5,Closed,8/1/1994 4:00:00 AM,,10000,Gasoline,,
46974,Alaska,AK2186,AK2186_6,Closed,8/1/1994 4:00:00 AM,,10000,Diesel,,
46975,Alaska,AK2506,AK2506_2,Closed,8/1/1994 4:00:00 AM,,4000,Gasoline,,
46976,Alaska,AK358,AK358_2,Open,8/1/1994 4:00:00 AM,,20000,Diesel,,
46977,Alaska,AK1230,AK1230_1,Open,7/1/1994 4:00:00 AM,,6000,Diesel,,
